iso3,country_name,grid_intensity_gco2_per_kwh,electricity_price_usd_per_kwh,lat,lon
AFG,Afghanistan,131.31,0.05,33.83157582199988,66.02686033678734
ALA,Åland Islands,,,,
ALB,Albania,25.18,0.117,41.1392406684944,20.06629914287189
DZA,Algeria,632.94,0.04,28.16151768620601,2.6750778495256653
ASM,American Samoa,,,,
AND,Andorra,,,42.54547237537381,1.5762805257067276
AGO,Angola,185.38,0.015,-12.298593978173562,17.550093627854096
AIA,Anguilla,,,,
ATA,Antarctica,,,-80.50959738876817,19.961887562989663
ATG,Antigua and Barbuda,594.6,,17.28026464295693,-61.80004897650802
ARG,Argentina,346.0,0.077,-35.38509916648454,-65.16745676324258
ARM,Armenia,211.93,0.111,40.294658073110895,44.93905734544344
ABW,Aruba,,,,
AUS,Australia,525.18,0.255,-25.735456181721943,134.48464099234758
AUT,Austria,116.91,0.342,47.5870350756494,14.14147120855228
AZE,Azerbaijan,631.9,0.047,40.291504679739056,47.52378469162548
BHS,Bahamas,653.33,0.353,24.19894093895055,-76.58401190488479
BHR,Bahrain,902.24,0.048,26.052024160470957,50.56477083787888
BGD,Bangladesh,696.13,0.062,23.83523271532202,90.2726199115168
BRB,Barbados,594.6,0.312,13.17278454246263,-59.55749565091428
BLR,Belarus,309.25,0.083,53.54194041850516,28.049299480691303
BEL,Belgium,149.82,0.402,50.64109242534007,4.66110488105392
BLZ,Belize,170.21,0.217,17.206641304546608,-88.69653111911185
BEN,Benin,584.16,,9.652513517374585,2.3366525929154
BMU,Bermuda,,0.465,,
BTN,Bhutan,23.64,0.015,27.39465065726484,90.43185758860064
BOL,Bolivia,481.29,,-16.71298220665343,-64.66214964555853
BES,"Bonaire, Sint Eustatius and Saba",,,,
BIH,Bosnia and Herzegovina,570.64,0.101,44.168576848369135,17.78596691150161
BWA,Botswana,851.31,0.094,-22.18738385393388,23.81476974281584
BRA,Brazil,109.95,0.16,-10.774310240202846,-53.08924072295714
BRN,Brunei Darussalam,892.09,,4.5214462908618325,114.74903997354788
BGR,Bulgaria,275.55,0.149,42.75776894687532,25.23483346709825
BFA,Burkina Faso,562.13,0.206,12.273950492592649,-1.735448751832592
BDI,Burundi,183.67,,-3.3656908199661872,29.89091094194888
CPV,Cabo Verde,461.54,0.328,15.947798449533396,-23.974454701059926
KHM,Cambodia,498.87,0.15,12.711493613487468,104.91778601880324
CMR,Cameroon,225.9,0.083,5.693583120647589,12.744110809458364
CAN,Canada,190.72,0.123,61.41324473676406,-98.25277181199804
CAF,Central African Republic,0.0,,6.577793652607762,20.48478090235483
TCD,Chad,621.62,,15.371924784933327,18.66606091426879
CHL,Chile,289.49,0.212,-37.81132256610488,-71.36086844254075
CHN,China,525.34,0.076,36.57110269747923,103.90998578842164
COL,Colombia,186.81,0.202,3.9077451439659807,-73.07734394168199
CRI,Costa Rica,24.2,0.169,9.97055990337153,-84.1981855434862
CIV,Côte d'Ivoire,405.01,0.129,7.622366289506242,-5.552654013828337
HRV,Croatia,158.5,0.171,45.04212308832436,16.4061028354521
CUB,Cuba,642.82,0.016,21.61979836678576,-79.02242955912237
CYP,Cyprus,489.0,0.338,35.05739478025776,33.224478267671664
CZE,Czechia,401.46,0.353,49.73906713564359,15.331866105351573
DNK,Denmark,114.41,0.358,56.19394323555073,9.40640038496913
DJI,Djibouti,450.0,,11.7346413101616,42.579653824088666
DMA,Dominica,600.0,,15.432052889491922,-61.35906719529942
DOM,Dominican Republic,537.48,0.116,18.894371073738945,-70.49590839049011
ECU,Ecuador,159.02,0.097,-1.424404473849045,-78.76726890222672
EGY,Egypt,563.23,0.024,26.56591219838592,29.78163572108081
SLV,El Salvador,139.32,0.249,13.73584977125761,-88.86907147402005
EST,Estonia,319.15,0.286,58.67109555175927,25.548943667525347
ETH,Ethiopia,23.08,0.006,8.632972555249719,39.632320162140594
FIN,Finland,57.47,0.182,64.48701596481372,26.24267509600829
FRA,France,41.44,0.277,39.467288091813394,1.2865108754869286
DEU,Germany,329.65,0.404,51.10839762858409,10.392254738599906
GHA,Ghana,468.89,0.132,7.965023658605553,-1.2059422331704015
GRC,Greece,315.09,0.247,39.04495503249979,22.98093298449532
GRL,Greenland,150.0,,74.71709048112041,-41.45433530381143
GTM,Guatemala,301.46,0.294,15.697457377037718,-90.36558668205912
HND,Honduras,322.12,0.24,14.821041883134503,-86.61687677680423
HUN,Hungary,163.02,0.109,47.165147632758455,19.41216375139736
ISL,Iceland,27.82,0.172,64.9904960589657,-18.584053987170343
IND,India,670.13,0.077,22.8706950066014,79.62994417073011
IDN,Indonesia,680.25,0.092,-2.2289451456530283,117.28239098046149
IRN,Iran,659.53,0.003,32.562466346267364,54.3034671652927
IRL,Ireland,256.54,0.444,53.179339940532,-8.148153220181484
ISR,Israel,492.69,0.177,31.35645591352212,34.96654247470969
ITA,Italy,284.78,0.419,42.78684264584523,12.077397987061657
JPN,Japan,477.26,0.23,37.6580274731369,138.11114953907494
KEN,Kenya,95.44,0.22,0.5579356310088041,37.84540676301916
KOR,South Korea,417.06,0.126,36.3761929510062,127.809224764988
LVA,Latvia,138.76,0.28,56.854043036328406,24.92701275566909
LTU,Lithuania,138.36,0.271,55.33700450721161,23.89993073005131
LUX,Luxembourg,123.38,0.252,49.77680968967495,6.09266714837281
MYS,Malaysia,601.97,0.049,3.791844263278673,109.72020584656477
MLT,Malta,484.02,0.146,35.923869034539806,14.399196231745814
MEX,Mexico,474.02,0.107,23.940407562043323,-102.53911532418202
